"Time","Wireless Headphones"
"2010-01-01",12
"2010-02-01",11
"2010-03-01",10
"2010-04-01",9
"2010-05-01",9
"2010-06-01",9
"2010-07-01",9
"2010-08-01",9
"2010-09-01",9
"2010-10-01",10
"2010-11-01",13
"2010-12-01",17
"2011-01-01",13
"2011-02-01",11
"2011-03-01",10
"2011-04-01",10
"2011-05-01",9
"2011-06-01",12
"2011-07-01",9
"2011-08-01",9
"2011-09-01",11
"2011-10-01",11
"2011-11-01",15
"2011-12-01",24
"2012-01-01",15
"2012-02-01",14
"2012-03-01",10
"2012-04-01",10
"2012-05-01",10
"2012-06-01",11
"2012-07-01",11
"2012-08-01",11
"2012-09-01",11
"2012-10-01",12
"2012-11-01",18
"2012-12-01",25
"2013-01-01",16
"2013-02-01",13
"2013-03-01",13
"2013-04-01",12
"2013-05-01",11
"2013-06-01",11
"2013-07-01",12
"2013-08-01",12
"2013-09-01",13
"2013-10-01",14
"2013-11-01",19
"2013-12-01",27
"2014-01-01",19
"2014-02-01",16
"2014-03-01",15
"2014-04-01",14
"2014-05-01",14
"2014-06-01",15
"2014-07-01",15
"2014-08-01",15
"2014-09-01",15
"2014-10-01",17
"2014-11-01",34
"2014-12-01",49
"2015-01-01",25
"2015-02-01",22
"2015-03-01",20
"2015-04-01",17
"2015-05-01",18
"2015-06-01",19
"2015-07-01",19
"2015-08-01",20
"2015-09-01",21
"2015-10-01",23
"2015-11-01",37
"2015-12-01",49
"2016-01-01",27
"2016-02-01",25
"2016-03-01",22
"2016-04-01",21
"2016-05-01",21
"2016-06-01",24
"2016-07-01",24
"2016-08-01",25
"2016-09-01",42
"2016-10-01",33
"2016-11-01",3
"2016-12-01",0
"2017-01-01",0
"2017-02-01",0
"2017-03-01",0
"2017-04-01",0
"2017-05-01",0
"2017-06-01",0
"2017-07-01",0
"2017-08-01",0
"2017-09-01",0
"2017-10-01",0
"2017-11-01",0
"2017-12-01",0
"2018-01-01",0
"2018-02-01",0
"2018-03-01",0
"2018-04-01",0
"2018-05-01",0
"2018-06-01",0
"2018-07-01",0
"2018-08-01",0
"2018-09-01",0
"2018-10-01",0
"2018-11-01",0
"2018-12-01",0
"2019-01-01",0
"2019-02-01",0
"2019-03-01",0
"2019-04-01",0
"2019-05-01",0
"2019-06-01",0
"2019-07-01",0
"2019-08-01",0
"2019-09-01",0
"2019-10-01",0
"2019-11-01",0
"2019-12-01",1
"2020-01-01",0
"2020-02-01",1
"2020-03-01",1
"2020-04-01",2
"2020-05-01",8
"2020-06-01",8
"2020-07-01",9
"2020-08-01",9
"2020-09-01",8
"2020-10-01",8
"2020-11-01",28
"2020-12-01",42
"2021-01-01",32
"2021-02-01",33
"2021-03-01",31
"2021-04-01",28
"2021-05-01",26
"2021-06-01",29
"2021-07-01",28
"2021-08-01",28
"2021-09-01",34
"2021-10-01",46
"2021-11-01",51
"2021-12-01",62
"2022-01-01",63
"2022-02-01",49
"2022-03-01",35
"2022-04-01",66
"2022-05-01",70
"2022-06-01",76
"2022-07-01",77
"2022-08-01",69
"2022-09-01",65
"2022-10-01",79
"2022-11-01",86
"2022-12-01",100
"2023-01-01",83
"2023-02-01",73
"2023-03-01",55
"2023-04-01",46
"2023-05-01",43
"2023-06-01",44
"2023-07-01",40
"2023-08-01",41
"2023-09-01",39
"2023-10-01",34
"2023-11-01",54
"2023-12-01",65
"2024-01-01",51
"2024-02-01",52
"2024-03-01",52
"2024-04-01",50
"2024-05-01",48
"2024-06-01",46
"2024-07-01",50
"2024-08-01",59
"2024-09-01",52
"2024-10-01",48
"2024-11-01",62
"2024-12-01",68
"2025-01-01",49
"2025-02-01",49
"2025-03-01",36
"2025-04-01",41
"2025-05-01",40
"2025-06-01",39
"2025-07-01",45
"2025-08-01",62
"2025-09-01",51
"2025-10-01",48
"2025-11-01",58
"2025-12-01",61
"2026-01-01",44
"2026-02-01",51
"2026-03-01",45
"2026-04-01",46
"2026-05-01",45
"2026-06-01",37
